age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
YoungAdult,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,High,None,Working,United-States,Low
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,None,None,Working,United-States,Low
Adult,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,None,None,Working,Cuba,Low
YoungAdult,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Working,United-States,Low
Adult,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,None,None,Lazy,Jamaica,Low
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,High,None,Motivated,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,None,None,HardWorking,United-States,High
YoungAdult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,Working,India,High
YoungAdult,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,None,None,Motivated,Mexico,Low
YoungAdult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Motivated,United-States,High
YoungAdult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,United-States,High
